date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:46	46/46	---MC-	200	added ('OK')	text/plain	date:Sun,%2014%20Oct%202012%2008:40:13%20GMT	http://wbpreview.com/robots.txt		(from )
15:40:46	20134/20134	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2020:07:33%20GMT	http://wbpreview.com/previews/WB0540304/	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/index.html	(from )
15:40:47	98147/98147	---MC-	200	added ('OK')	text/css	date:Fri,%2002%20Nov%202012%2020:07:34%20GMT	http://wbpreview.com/previews/WB0540304/css/bootstrap.min.css	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/css/bootstrap.min.css	(from )
15:40:48	15962/15962	---MC-	200	added ('OK')	text/css	date:Fri,%2002%20Nov%202012%2020:07:32%20GMT	http://wbpreview.com/previews/WB0540304/css/bootstrap-responsive.min.css	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/css/bootstrap-responsive.min.css	(from )
15:40:48	5488/5488	---MC-	200	added ('OK')	text/css	date:Fri,%2002%20Nov%202012%2020:07:33%20GMT	http://wbpreview.com/previews/WB0540304/css/main.css	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/css/main.css	(from )
15:40:49	94840/94840	---MC-	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Nov%202012%2020:07:38%20GMT	http://wbpreview.com/previews/WB0540304/js/jquery.js	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/js/jquery.js	(from )
15:40:49	25563/25563	---MC-	200	added ('OK')	application/x-javascript	date:Fri,%2002%20Nov%202012%2020:07:37%20GMT	http://wbpreview.com/previews/WB0540304/js/bootstrap.min.js	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/js/bootstrap.min.js	(from )
15:40:49	20134/20134	---MC-	200	added ('OK')	text/html	date:Fri,%2002%20Nov%202012%2020:07:33%20GMT	http://wbpreview.com/previews/WB0540304/index.html	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/index-2.html	(from )
15:40:49	3011/3011	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Nov%202012%2020:07:34%20GMT	http://wbpreview.com/previews/WB0540304/img/logo.png	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/img/logo.png	(from )
15:40:49	2667/2667	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Nov%202012%2020:07:34%20GMT	http://wbpreview.com/previews/WB0540304/img/phone.png	C:/Mes%20Sites%20Web/bootstrap3/wbpreview.com/previews/WB0540304/img/phone.png	(from )
